,symbol
ENSG00000232912,RERE-AS1
ENSG00000000938,FGR
ENSG00000132879,FBXO44
ENSG00000077549,CAPZB
ENSG00000117616,RSRP1
ENSG00000142621,FHAD1
ENSG00000187583,PLEKHN1
ENSG00000142765,SYTL1
ENSG00000271895,ENSG00000271895
ENSG00000187961,KLHL17
ENSG00000228594,FNDC10
ENSG00000169972,PUSL1
ENSG00000120949,TNFRSF8
ENSG00000179051,RCC2
ENSG00000132881,CPLANE2
ENSG00000173369,C1QB
ENSG00000162545,CAMK2N1
ENSG00000160087,UBE2J2
ENSG00000238009,ENSG00000238009
ENSG00000117215,PLA2G2D
ENSG00000117118,SDHB
ENSG00000130775,THEMIS2
ENSG00000142599,RERE
ENSG00000162551,ALPL
ENSG00000171621,SPSB1
ENSG00000157911,PEX10
ENSG00000169504,CLIC4
ENSG00000160049,DFFA
ENSG00000117115,PADI2
ENSG00000117640,MTFR1L
ENSG00000169914,OTUD3
ENSG00000116685,KIAA2013
ENSG00000204859,ZBTB48
ENSG00000176083,ZNF683
ENSG00000188807,TMEM201
ENSG00000223823,LINC01342
ENSG00000162426,SLC45A1
ENSG00000249087,ZNF436-AS1
ENSG00000090020,SLC9A1
ENSG00000272004,ENSG00000272004
ENSG00000004487,KDM1A
ENSG00000142606,MMEL1
ENSG00000235790,PEF1-AS1
ENSG00000160075,SSU72
ENSG00000235098,ANKRD65
ENSG00000272078,ENSG00000272078
ENSG00000069424,KCNAB2
ENSG00000160072,ATAD3B
ENSG00000234546,LNCTAM34A
ENSG00000142632,ARHGEF19
ENSG00000011007,ELOA
ENSG00000127054,INTS11
ENSG00000117632,STMN1
ENSG00000142669,SH3BGRL3
ENSG00000204219,TCEA3
ENSG00000225077,ICMT-DT
ENSG00000126709,IFI6
ENSG00000001460,STPG1
ENSG00000117643,MAN1C1
ENSG00000116809,ZBTB17
ENSG00000180098,TRNAU1AP
ENSG00000179163,FUCA1
ENSG00000127481,UBR4
ENSG00000162585,FAAP20
ENSG00000142676,RPL11
ENSG00000060642,PIGV
ENSG00000126698,DNAJC8
ENSG00000116353,MECR
ENSG00000159023,EPB41
ENSG00000169991,IFFO2
ENSG00000180198,RCC1
ENSG00000197785,ATAD3A
ENSG00000074800,ENO1
ENSG00000180758,GPR157
ENSG00000121766,ZCCHC17
ENSG00000177000,MTHFR
ENSG00000053372,MRTO4
ENSG00000225986,ENSG00000225986
